cod_ibge,code_muni,name,crs,crs2,cod_crs,macro,pop_15,pop_16,pop_17,pop_18,pop_19,pop_20,pop_21,pop_22,pop_23,code_state,abbrev_state,name_state
430605,4306056,Cristal,01Âª CRS,01ª CRS,1,Metropolitana,7.841,7.839,7677,7624,7590,7612,7633,7633,7633,43,RS,Rio Grande do Sul
430607,4306072,Cristal do Sul,02Âª CRS,02ª CRS,2,Norte,2.808,2.786,2832,2897,2912,2948,2885,2885,2885,43,RS,Rio Grande do Sul
430610,4306106,Cruz Alta,09Âª CRS,"09ª CRS",9,Missioneira,63.358,63.389,61563,61700,61800,62006,62386,62386,62386,43,RS,Rio Grande do Sul
430613,4306130,Cruzaltense,11Âª CRS,11ª CRS,11,Norte,2.001,1.926,1934,1878,1856,1877,1891,1891,1891,43,RS,Rio Grande do Sul
430620,4306205,Cruzeiro do Sul,16Âª CRS,16ª CRS,16,Vales,12.528,12.708,13122,13267,13230,13552,13637,13637,13637,43,RS,Rio Grande do Sul
430630,4306304,David Canabarro,06Âª CRS,06ª CRS,6,Norte,4.370,4.519,4479,4581,4525,4552,4531,4531,4531,43,RS,Rio Grande do Sul
430632,4306320,Derrubadas,02Âª CRS,02ª CRS,2,Norte,3.034,3.006,3017,2998,2995,2962,2926,2926,2926,43,RS,Rio Grande do Sul
430635,4306353,Dezesseis de Novembro,12Âª CRS,12ª CRS,12,Missioneira,2.650,2.671,2678,2669,2607,2515,2503,2503,2503,43,RS,Rio Grande do Sul
430637,4306379,Dilermando de Aguiar,04Âª CRS,"04ª CRS",4,Centro-Oeste,2.976,2.942,2937,2915,2891,2919,2985,2985,2985,43,RS,Rio Grande do Sul
430640,4306403,Dois Irmãos,01Âª CRS,01ª CRS,1,Metropolitana,30.354,30.699,32138,32614,32913,33417,33479,33479,33479,43,RS,Rio Grande do Sul
430642,4306429,Dois Irmãos das Missões,15Âª CRS,15ª CRS,15,Norte,2.096,2.074,2109,2144,2148,2138,2131,2131,2131,43,RS,Rio Grande do Sul
430645,4306452,Dois Lajeados,16Âª CRS,16ª CRS,16,Vales,3.224,3.321,3324,3387,3460,3509,3539,3539,3539,43,RS,Rio Grande do Sul
430650,4306502,Dom Feliciano,01Âª CRS,01ª CRS,1,Metropolitana,14.427,14.487,14186,14152,14221,14118,14055,14055,14055,43,RS,Rio Grande do Sul
430660,4306551,Dom Pedrito,07Âª CRS,07ª CRS,7,Sul,38.956,39.109,37364,37452,37154,37006,36422,36422,36422,43,RS,Rio Grande do Sul
430655,4306601,Dom Pedro de Alcântara,18Âª CRS,18ª CRS,18,Metropolitana,2.511,2.633,2684,2733,2804,2818,2826,2826,2826,43,RS,Rio Grande do Sul
430670,4306700,Dona Francisca,04Âª CRS,"04ª CRS",4,Centro-Oeste,3.233,3.266,3336,3389,3409,3374,3312,3312,3312,43,RS,Rio Grande do Sul
